Mayor group,Order,Family,Tribus,Species,Flower color composition,Main flower color,Flavonoids,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Basal angiosperms,Nymphaeales,Nymphaeaceae,,Nymphaea_capensis,Pink,Pink,1,1  ,0,0,0,2
Basal angiosperms,Nymphaeales,Nymphaeaceae,,Nuphar_lutea,Yellow,Yellow,1,0  ,0,1,0,2
Early diverg. angios.,Piperales,Aristolochiaceae,,Aristolochia_baetica,Purple/Green,Purple,1,1  ,0,0,1,3
Early diverg. angios.,Piperales,Aristolochiaceae,,Aristolochia_paucinervis,Purple/Green,Green,1,1  ,0,0,1,3
Early diverg. angios.,Laurales,Calycanthaceae,,Chimonanthus_praecox,Yellow/Red,Yellow,1,1  ,0,1,0,3
Early diverg. angios.,Laurales,Lauraceae,,Laurus_nobilis,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Alismatales,Araceae,,Arisarum_simorrhinum,Purple/Green/White,Purple,1,1  ,0,0,1,3
Monocotyledoneae,Alismatales,Araceae,,Biarum_tenuifolium,Purple/Green,Purple,1,1  ,0,0,1,3
Monocotyledoneae,Alismatales,Araceae,,Zantedeschia_elliottiana,Yellow,Yellow,1,0  ,0,1,1,3
Monocotyledoneae,Asparagales,Amaryllidaceae,,Acis_autumnalis,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_ampeloprasum,Pink/Green,Pink,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_neapolitanum,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_roseum,Pink/Green,Pink,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_subvillosum,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_triquetrum,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_assoanus,Yellow,Yellow,1,0  ,0,1,0,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_cuatrecasasii,Yellow,Yellow,1,0  ,0,1,0,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_obsoletus,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_serotinus,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_papyraceus,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_xperezlarae,Yellow,Yellow,1,0  ,0,1,0,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Nothoscordum_gracile,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Asparagaceae,,Dipcadi_serotinum,Brown/Green,Brown,1,0  ,0,0,1,3
Monocotyledoneae,Asparagales,Asparagaceae,,Hyacinthoides_hispanica,Blue,Blue,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Asparagaceae,,Leopoldia_comosa,Blue/Green,Blue,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Asparagaceae,,Muscari_neglectum,Blue/Green,Blue,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Asparagaceae,,Ornithogalum_baeticum,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Ornithogalum_umbellatum,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Aparagaceae,,Ornithogalum_narbonense,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Asparagaceae,,Prospero_autumnale,Blue/Green,Blue,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Asparagaceae,,Scilla_peruviana,Blue/Green,Blue,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Gladiolus_communis,Pink,Pink,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Iridaceae,,Gladiolus_italicus,Pink,Pink,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Iridaceae,,Iris_foetidissima,Brown/Blue/Yellow,Brown,1,1  ,0,1,1,4
Monocotyledoneae,Asparagales,Iridaceae,,Iris_planifolia,Blue/Yellow/Green,Blue,1,1  ,0,1,1,4
Monocotyledoneae,Asparagales,Iridaceae,,Iris_pseudacorus,Yellow/Green,Yellow,1,0  ,0,1,1,3
Monocotyledoneae,Asparagales,Iridaceae,,Moraea_sisyrinchium,Pink/Yellow/White,Pink,1,1  ,0,1,0,3
Monocotyledoneae,Asparagales,Iridaceae,,Romulea_bulbocodium,Pink/Green/White,Pink,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Cephalanthera_longifolia,White,White,1,0  ,0,0,0,1
Monocotyledoneae,Asparagales,Orchidaceae,,Himantoglossum_robertianum,Pink/Green,Pink,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_fusca,Purple/Green,Green,1,1  ,0,1,1,4
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_lutea,Yellow/Green/Purple,Yellow,1,1  ,0,1,1,4
Monocotyledoneae,Asparagales,Orchidaceae,,Ophrys_tenthredinifera,Pink/Purple/Green,Pink,1,1  ,0,1,1,4
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_anthropophora,Green/White/Red,Green,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_italica,White/Pink,Pink,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Orchidaceae,,Orchis_mascula,White/Pink,Pink,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_cordigera,Purple/Green,Purple,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_parviflora,Purple/Green,Purple,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Orchidaceae,,Serapias_vomeracea,Purple,Purple,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_albus,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_fistulosus,White/Red,White,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_ramosus,White/Red,White,1,1  ,0,0,1,3
Monocotyledoneae,Asparagales,Asphodelaceae,,Asphodelus_teniofolius,White/Green,White,1,0  ,0,0,1,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Kumara_plicatilis,Orange,Orange,1,0  ,0,1,0,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Simethis_planifolia,White/Pink,White,1,1  ,0,0,0,2
Monocotyledoneae,Asparagales,Asphodelaceae,,Xanthorrhoea_preissii,Yellow,Yellow,1,0  ,1,0,0,2
Monocotyledoneae,Liliales,Colchicaceae,,Colchicum_autumnale,Pink,Pink,1,1  ,0,0,0,2
Monocotyledoneae,Liliales,Liliaceae,,Lilium_ochraceum,White/Pink,White,1,1  ,0,0,0,2
Monocotyledoneae,Liliales,Liliaceae,,Tulipa_sylvestris,Yellow,Yellow,1,0  ,0,1,0,2
Monocotyledoneae,Liliales,Smilacaceae,,Smilax_aspera,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Daucus_carota,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Foeniculum_vulgare,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Apiales,Apiaceae,,Oenanthe_globulosa,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Torilis_arvensis,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Torilis_nodosa,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Apiales,Apiaceae,,Thapsia_transtagana,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Apiales,Apiaceae,,Scandix_pectn-veneris,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Anacyclus_clavatus,White/Yellow,White,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Chamaemelum_fuscatum,White/Yellow,White,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Coleostephus_myconis,Yellow,Yellow,1,0  ,1,1,0,3
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Glebionis_coronaria,White/Yellow,White,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Anthemideae,Glebionis_segetum,Yellow,Yellow,1,0  ,1,1,0,3
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Bellis_cordifolia,White/Yellow,White ,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Astereae,Bellis_sylvestris,White/Yellow,White ,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_bourgeanus,White/Yellow,White,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carduus_tenuiflorus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Carthamus_caeruleus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_pullata,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Centaurea_sphaerocephala,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Crupina_vulgaris,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Cynara_humilis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Galactites_tomentosus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_duriaei,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Mantisalca_salmantica,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cardueae,Notobasis_syriaca,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_arvensis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Calenduleae,Calendula_officinalis,Orange,Orange,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Andryala_integrifolia,Yellow,Yellow,1,0  ,1,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Cichorium_intybus,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Crepis_vesicaria,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Geropogon_hybridus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Hedypnois_rhagadioloides,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Leontodon_saxatilis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_gaditana,Yellow/Purple,Yellow,1,1  ,0,1,0,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Podospermum_laciniatum,Yellow/Purple,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Asterales,Asteraceae,Cichorieae,Reichardia_intermedia,Yellow,Yellow,1,0  ,0,1,0,2
