Major lineage,Order,Family,Tribe,Species (names WFO),Species (names WFO)2,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Basal angiosperms,Nymphaeales,Nymphaeaceae,,Nymphaea_nouchali,Nymphaea nouchali,1,NA,NA,NA,NA
Basal angiosperms,Nymphaeales,Nymphaeaceae,,Nuphar_lutea,Nuphar lutea,0,0,1,0,1
Basal angiosperms,Nymphaeales,Nymphaeaceae,,Victoria_amazonica,Victoria amazonica,1,0,0,0,1
Early diverg. angios.,Laurales,Calycanthaceae,,Chimonanthus_praecox,Chimonanthus praecox,1,0,1,1,3
Early diverg. angios.,Laurales,Calycanthaceae,,Calycanthus_floridus,Calycanthus floridus,1,NA,NA,0,NA
Early diverg. angios.,Laurales,Calycanthaceae,,Calycanthus_occidentalis ,Calycanthus occidentalis ,1,0,0,0,1
Early diverg. angios.,Laurales,Lauraceae,,Laurus_nobilis,Laurus nobilis,0,0,0,0,0
Early diverg. angios.,Laurales,Lauraceae,,Umbellularia_californica,Umbellularia californica,1,0,1,1,3
Early diverg. angios.,Piperales,Aristolochiaceae,,Aristolochia_baetica,Aristolochia baetica,1,0,0,1,2
Early diverg. angios.,Piperales,Aristolochiaceae,,Isotrema_californicum,Isotrema californicum,1,0,1,1,3
Early diverg. angios.,Piperales,Aristolochiaceae,,Aristolochia_paucinervis,Aristolochia paucinervis,1,0,0,1,2
Early diverg. angios.,Piperales,Aristolochiaceae,,Asarum_caudatum,Asarum caudatum,1,0,1,1,3
Early diverg. angios.,Piperales,Saururaceae,,Anemopsis_californica,Anemopsis californica,0,0,0,0,0
Early diverg. angios.,Magnoliales,Annonaceae,,Duguetia_furfuracea,Duguetia furfuracea,1,0,0,1,2
Early diverg. angios.,Magnoliales,Annonaceae,,Xylopia_aromatica,Xylopia aromatica,1,0,0,0,1
Early diverg. angios.,Magnoliales,Magnoliaceae,,Liriodendron_tulipifera,Liriodendron tulipifera,0,0,1,1,2
Early diverg. angios.,Magnoliales,Magnoliaceae,,Magnolia_biondii,Magnolia biondii,1,0,0,0,1
Early diverg. angios.,Magnoliales,Magnoliaceae,,Magnolia_sprengeri,Magnolia sprengeri,1,0,0,0,1
Monocotyledoneae,Alismatales,Alismataceae,,Alisma_lanceolatum,Alisma lanceolatum,0,NA,0,NA,NA
Monocotyledoneae,Alismatales,Araceae,,Arisarum_simorrhinum,Arisarum simorrhinum,1,0,0,1,2
Monocotyledoneae,Alismatales,Araceae,,Arum_italicum ,Arum italicum ,0,0,1,1,2
Monocotyledoneae,Alismatales,Araceae,,Arum_maculatum,Arum maculatum,1,0,1,1,3
Monocotyledoneae,Alismatales,Araceae,,Biarum_arundanum ,Biarum arundanum ,1,0,0,1,2
Monocotyledoneae,Alismatales,Butomaceae,,Butomus_umbellatus,Butomus umbellatus,1,NA,0,NA,NA
Monocotyledoneae,Asparagales,Amaryllidaceae,,Acis_autumnalis,Acis autumnalis,0,0,0,0,0
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_ampeloprasum,Allium ampeloprasum,1,0,0,1,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium falcifolium,Allium falcifolium,1,0,0,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium membranaceum,Allium membranaceum,1,0,0,1,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_neapolitanum,Allium neapolitanum,0,0,0,0,0
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_roseum,Allium roseum,1,0,0,1,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_subvillosum,Allium subvillosum,0,0,0,0,0
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_triquetrum,Allium triquetrum,0,0,0,1,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_unifolium,Allium unifolium,1,0,0,1,2
Monocotyledoneae,Asparagales,Amaryllidaceae,,Allium_ursinum,Allium ursinum,0,NA,0,NA,NA
Monocotyledoneae,Asparagales,Amaryllidaceae,,Galanthus_nivalis,Galanthus nivalis,0,0,0,1,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_assoanus,Narcissus assoanus,0,0,1,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_cuatrecasasii,Narcissus cuatrecasasii,0,0,1,0,1
Monocotyledoneae,Asparagales,Amaryllidaceae,,Narcissus_obsoletus,Narcissus obsoletus,0,0,0,0,0
