"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"845",1,"Nymphaea nouchali","","Nymphaea",2,"Nymphaea nouchali","Burm.fil.","Nymphaea",2,15869,1,FALSE,0.8,0,NA,NA,NA,NA,"Nymphaeaceae",NA,"Nymphaea nouchali",NA
"844",2,"Nuphar lutea","","Nuphar",2,"Nuphar lutea","(L.) Sibth. &  Sm.","Nuphar",2,15811,1,FALSE,0.8,0,NA,NA,NA,NA,"Nymphaeaceae",NA,"Nuphar lutea",NA
"1325",3,"Victoria amazonica","","Victoria",2,"Victoria amazonica","(Poepp.) Sowerby","Victoria",2,15910,1,FALSE,0.8,0,NA,NA,NA,NA,"Nymphaeaceae",NA,"Victoria amazonica",NA
"258",4,"Chimonanthus praecox","","Chimonanthus",2,"Chimonanthus praecox","(L.) Link","Chimonanthus",2,20866,1,FALSE,0.8,0,NA,NA,NA,NA,"Calycanthaceae",NA,"Chimonanthus praecox",NA
"174",5,"Calycanthus floridus","","Calycanthus",2,"Calycanthus floridus","L.","Calycanthus",2,20858,1,FALSE,0.8,0,NA,NA,NA,NA,"Calycanthaceae",NA,"Calycanthus floridus",NA
"175",6,"Calycanthus occidentalis","","Calycanthus",2,"Calycanthus occidentalis","Hook. &  Arn.","Calycanthus",2,20860,1,FALSE,0.8,0,NA,NA,NA,NA,"Calycanthaceae",NA,"Calycanthus occidentalis",NA
"665",7,"Laurus nobilis","","Laurus",2,"Laurus nobilis","L.","Laurus",2,24001,1,FALSE,0.8,0,NA,NA,NA,NA,"Lauraceae",NA,"Laurus nobilis",NA
"1290",8,"Umbellularia californica","","Umbellularia",2,"Umbellularia californica","(Hook. &  Arn.) Nutt.","Umbellularia",2,23284,1,FALSE,0.8,0,NA,NA,NA,NA,"Lauraceae",NA,"Umbellularia californica",NA
"88",9,"Aristolochia baetica","","Aristolochia",2,"Aristolochia baetica","L.","Aristolochia",2,20364,1,FALSE,0.8,0,NA,NA,NA,NA,"Aristolochiaceae",NA,"Aristolochia baetica",NA
"637",10,"Isotrema californicum","","Isotrema",2,"Isotrema californicum","(Torr.) H.Huber","Isotrema",2,20321,1,FALSE,0.8,0,NA,NA,NA,NA,"Aristolochiaceae",NA,"Isotrema californicum",NA
"89",11,"Aristolochia paucinervis","","Aristolochia",2,"Aristolochia paucinervis","Pomel","Aristolochia",2,20687,1,FALSE,0.8,0,NA,NA,NA,NA,"Aristolochiaceae",NA,"Aristolochia paucinervis",NA
"94",12,"Asarum caudatum","","Asarum",2,"Asarum caudatum","Lindl.","Asarum",2,20128,1,FALSE,0.8,0,NA,NA,NA,NA,"Aristolochiaceae",NA,"Asarum caudatum",NA
