"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Nymphaea nouchali","Nymphaea","","nouchali",NA,NA,"","","kew-2384389",TRUE,"1.1","Accepted","Nymphaeaceae","Nymphaea","","nouchali","","","Burm.f.","kew-2384389","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Nuphar lutea","Nuphar","","lutea",NA,NA,"","","kew-2384511",TRUE,"1.1","Accepted","Nymphaeaceae","Nuphar","","lutea","","","(L.) Sm.","kew-2384511","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Victoria amazonica","Victoria","","amazonica",NA,NA,"","","tro-22600136",TRUE,"1.1","Accepted","Nymphaeaceae","Victoria","","amazonica","","","(Poepp.) J.C. Sowerby","tro-22600136","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Aristolochia baetica","Aristolochia","","baetica",NA,NA,"","","kew-2651183",TRUE,"1.1","Accepted","Aristolochiaceae","Aristolochia","","baetica","","","L.","kew-2651183","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Aristolochia paucinervis","Aristolochia","","paucinervis",NA,NA,"","","kew-2651756",TRUE,"1.1","Accepted","Aristolochiaceae","Aristolochia","","paucinervis","","","Pomel","kew-2651756","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Chimonanthus praecox","Chimonanthus","","praecox",NA,NA,"","","kew-2718305",TRUE,"1.1","Accepted","Calycanthaceae","Chimonanthus","","praecox","","","(L.) Link","kew-2718305","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Calycanthus floridus","Calycanthus","","floridus",NA,NA,"","","kew-2693995",TRUE,"1.1","Accepted","Calycanthaceae","Calycanthus","","floridus","","","L.","kew-2693995","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Laurus nobilis","Laurus","","nobilis",NA,NA,"","","kew-2349094",TRUE,"1.1","Accepted","Lauraceae","Laurus","","nobilis","","","L.","kew-2349094","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Duguetia furfuracea","Duguetia","","furfuracea",NA,NA,"","","kew-2779094",TRUE,"1.1","Accepted","Annonaceae","Duguetia","","furfuracea","","","(A.St.-Hil.) Saff.","kew-2779094","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Xylopia aromatica","Xylopia","","aromatica",NA,NA,"","","kew-2468137",TRUE,"1.1","Accepted","Annonaceae","Xylopia","","aromatica","","","(Lam.) Mart.","kew-2468137","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Magnolia sprengeri","Magnolia","","sprengeri",NA,NA,"","","kew-117850",TRUE,"1.1","Accepted","Magnoliaceae","Magnolia","","sprengeri","","","Pamp.","kew-117850","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Alisma lanceolatum","Alisma","","lanceolatum",NA,NA,"","","kew-294813",TRUE,"1.1","Accepted","Alismataceae","Alisma","","lanceolatum","","","With.","kew-294813","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Arisarum simorrhinum","Arisarum","","simorrhinum",NA,NA,"","","kew-15828",TRUE,"1.1","Accepted","Araceae","Arisarum","","simorrhinum","","","Durieu","kew-15828","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Biarum tenuifolium","Biarum","","tenuifolium",NA,NA,"","","kew-21985",TRUE,"1.1","Accepted","Araceae","Biarum","","tenuifolium","","","(L.) Schott","kew-21985","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Zantedeschia elliottiana","Zantedeschia","","elliottiana",NA,NA,"","","kew-215539",TRUE,"1.1","Accepted","Araceae","Zantedeschia","","elliottiana","","","(W.Watson) Engl.","kew-215539","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Butomus umbellatus","Butomus","","umbellatus",NA,NA,"","","kew-301538",TRUE,"1.1","Accepted","Butomaceae","Butomus","","umbellatus","","","L.","kew-301538","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Acis autumnalis","Acis","","autumnalis",NA,NA,"","","kew-293461",TRUE,"1.1","Accepted","Amaryllidaceae","Acis","","autumnalis","","","(L.) Sweet","kew-293461","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium ampeloprasum","Allium","","ampeloprasum",NA,NA,"","","kew-294972",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","ampeloprasum","","","L.","kew-294972","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium neapolitanum","Allium","","neapolitanum",NA,NA,"","","kew-296083",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","neapolitanum","","","Cirillo","kew-296083","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium roseum","Allium","","roseum",NA,NA,"","","kew-296421",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","roseum","","","L.","kew-296421","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium subvillosum","Allium","","subvillosum",NA,NA,"","","kew-296729",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","subvillosum","","","Salzm. ex Schult. & Schult.f.","kew-296729","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium triquetrum","Allium","","triquetrum",NA,NA,"","","kew-296839",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","triquetrum","","","L.","kew-296839","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Allium ursinum","Allium","","ursinum",NA,NA,"","","kew-296893",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","ursinum","","","L.","kew-296893","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Galanthus nivalis","Galanthus","","nivalis",NA,NA,"","","kew-307568",TRUE,"1.1","Accepted","Amaryllidaceae","Galanthus","","nivalis","","","L.","kew-307568","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus assoanus","Narcissus","","assoanus",NA,NA,"","","kew-282799",TRUE,"1.1","Accepted","Amaryllidaceae","Narcissus","","assoanus","","","Dufour ex Schult. & Schult.f.","kew-282799","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus cuatrecasasii","Narcissus","","cuatrecasasii",NA,NA,"","","kew-282652",TRUE,"1.1","Accepted","Amaryllidaceae","Narcissus","","cuatrecasasii","","","Fern.Casas, M.Laínz & Ruíz Rejón","kew-282652","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus obsoletus","Narcissus","","obsoletus",NA,NA,"","","kew-281989",TRUE,"1.1","Accepted","Amaryllidaceae","Narcissus","","obsoletus","","","(Haw.) Spach","kew-281989","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus serotinus","Narcissus","","serotinus",NA,NA,"","","kew-282220",TRUE,"1.1","Accepted","Amaryllidaceae","Narcissus","","serotinus","","","L.","kew-282220","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus papyraceus","Narcissus","","papyraceus",NA,NA,"","","kew-281955",TRUE,"1.1","Accepted","Amaryllidaceae","Narcissus","","papyraceus","","","Ker Gawl.","kew-281955","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Narcissus xperezlarae","Narcissus","","xperezlarae",NA,NA,"","","tro-1201274",TRUE,"1.1","Unresolved","Amaryllidaceae","Narcissus","","perezlarae","","","Font Quer x","tro-1201274","Unresolved",TRUE,FALSE,FALSE,2020-04-30,"Species"
"Nerine bowdenii","Nerine","","bowdenii",NA,NA,"","","kew-282092",TRUE,"1.1","Accepted","Amaryllidaceae","Nerine","","bowdenii","","","W.Watson","kew-282092","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Tulbaghia violacea","Tulbaghia","","violacea",NA,NA,"","","kew-289698",TRUE,"1.1","Accepted","Amaryllidaceae","Tulbaghia","","violacea","","","Harv.","kew-289698","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Nothoscordum gracile","Nothoscordum","","gracile",NA,NA,"","","kew-281991",TRUE,"1.1","Accepted","Amaryllidaceae","Nothoscordum","","gracile","","","(Aiton) Stearn","kew-281991","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
"Dipcadi serotinum","Dipcadi","","serotinum",NA,NA,"","","kew-304368",TRUE,"1.1","Accepted","Asparagaceae","Dipcadi","","serotinum","","","(L.) Medik.","kew-304368","Accepted",FALSE,FALSE,FALSE,2020-04-30,"Species"
