"","accepted","author","kingdom","family","name","rank","url","fqId","images","snippet"
"1","TRUE","Ensermu","Plantae","Acanthaceae","Acanthopale aethiogermanica","Species","/taxon/urn:lsid:ipni.org:names:77098516-1","urn:lsid:ipni.org:names:77098516-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/10cb2680a863f953088c1f4810c4d652.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/65ec7db925500e24b9bf07ebcb9a9f32.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"2","TRUE","(Benoist) Callm. & Phillipson","Plantae","Acanthaceae","Acanthopale breviceps","Species","/taxon/urn:lsid:ipni.org:names:77153331-1","urn:lsid:ipni.org:names:77153331-1","NULL",NA
"3","TRUE","(Lindau) C.B.Clarke","Plantae","Acanthaceae","Acanthopale confertiflora","Species","/taxon/urn:lsid:ipni.org:names:44819-1","urn:lsid:ipni.org:names:44819-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/f5846688a7ac0bdb9f05a3bcf9f7b207.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/82d992ed698fd9b485cf8f832bb9443d.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"4","TRUE","(Benoist) Callm. & Phillipson","Plantae","Acanthaceae","Acanthopale cuneifolia","Species","/taxon/urn:lsid:ipni.org:names:77153332-1","urn:lsid:ipni.org:names:77153332-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/381eedf21acaf04f95d158451e4be79d.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/c5a3524e70af77b7f81ed86c3fac53eb.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"5","TRUE","C.B.Clarke","Plantae","Acanthaceae","Acanthopale decempedalis","Species","/taxon/urn:lsid:ipni.org:names:44821-1","urn:lsid:ipni.org:names:44821-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/11b3e7a5d31bbdf5c99c8767c8778fe5.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/791dad6382ee0dbdd62a13519deab8f5.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"6","TRUE","(Benoist) Callm. & Phillipson","Plantae","Acanthaceae","Acanthopale humblotii","Species","/taxon/urn:lsid:ipni.org:names:77153333-1","urn:lsid:ipni.org:names:77153333-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/8a97bc14e8fd40d0f38e1d947f5c6045.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/cb495354b4509cc91e188f9422d26650.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"7","TRUE","(Lindau) C.B.Clarke","Plantae","Acanthaceae","Acanthopale laxiflora","Species","/taxon/urn:lsid:ipni.org:names:44824-1","urn:lsid:ipni.org:names:44824-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/a4e6fdfefdbf539e1727f1393a96469a.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/4209bffe9fbac0d898c08ea76742b18c.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"8","TRUE","Vollesen","Plantae","Acanthaceae","Acanthopale macrocarpa","Species","/taxon/urn:lsid:ipni.org:names:77092225-1","urn:lsid:ipni.org:names:77092225-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/634d08727b7004c40a167f8ec2cf9f89.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/eb6dda35603317aaff20a62e1cb2e8dc.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"9","TRUE","(Baker) C.B.Clarke ex Bremek.","Plantae","Acanthaceae","Acanthopale madagascariensis","Species","/taxon/urn:lsid:ipni.org:names:44826-1","urn:lsid:ipni.org:names:44826-1","list(thumbnail = ""//d2seqvvyy3b8p2.cloudfront.net/b023fb0df2364fd58124282bfcaf7ded.jpg"", fullsize = ""//d2seqvvyy3b8p2.cloudfront.net/e1762a460ccb406bbb20959f55d57e47.jpg"", caption = ""A specimen from Kew's Herbarium"")",NA
"10","TRUE","(Benoist) Callm. & Phillipson","Plantae","Acanthaceae","Acanthopale perrieri","Species","/taxon/urn:lsid:ipni.org:names:77153334-1","urn:lsid:ipni.org:names:77153334-1","NULL",NA
